# COLMAP_ID X Y Z
3864 -1.29597 -440.76 3110.99
3865 46.141 59.7631 133.438
3867 -207.181 -86.7501 1178.1
3870 148.486 -454.465 3163.29
3871 195.107 -594.399 4501.1
3874 887.353 -281.643 2736.14
3875 -660.663 -245.544 2819.74
3877 865.444 -164.731 2736.86
3880 -3.1381 -30.4622 1118.34
3885 200.289 2.18601 1969.53
3887 413.296 75.6631 3601.19
3892 -492.517 -722.986 3926.04
3894 288.65 -682.048 4095.96
3900 -144.775 -29.872 1170.09
3914 303.692 171.929 42.3453
3916 216.935 239.935 62.5216
3917 216.935 239.935 62.5216
3918 215.24 241.34 63.1997
3919 -345.174 -813.655 3936.22
3926 134.94 -76.4641 1130.03
3927 199.489 -36.8031 1042.41
3929 -132.442 -9.70525 1616.33
3933 85.3524 70.2864 135.424
3934 282.842 129.777 48.8632
3939 177.716 193.773 75.2998
3940 303.019 191.984 44.5578
3949 -308.839 -805.395 3907.25
3950 -308.839 -805.395 3907.25
3956 -433.291 -719.397 3870.16
3967 274.065 132.375 50.9147
3970 310.967 139.783 41.297
3971 209.654 171.54 63.0913
3976 -156.455 -789.148 3923.27
3978 -72.1105 -768.002 4030.1
3984 267.02 5.25478 1156.42
3985 278.539 104.948 38.2397
3987 317.107 130.618 40.5103
3991 297.154 192.427 43.9206
3992 304.619 195.144 41.9476
3993 204.688 201.138 65.0302
3996 127.438 255.444 86.4437
3998 -399.468 -788.53 3905.16
4000 209.875 -522.329 3104.73
4005 417.346 145.854 399.869
4009 214.179 183.511 66.0486
4010 195.513 209.729 69.235
4013 193.593 215.049 70.1239
4015 217.93 241.797 62.528
4024 206.841 218.636 66.1804
4027 187.978 243.068 70.8385
4029 1466.04 89.2364 2543.48
4046 309.513 149.67 42.8799
4052 405.766 39.0385 725.035
4057 -765.009 -210.585 2604.31
4058 -173.401 -184.013 1465.39
4059 -239.278 -171.294 1373.45
4060 -240.114 -171.448 1383.57
4061 -617.414 -164.651 2478.44
4062 879.938 -313.84 2709.45
4064 -474.368 -56.5794 1274.08
4067 -787.16 -588.046 3311.16
4071 118.124 -464.349 3231.69
4074 -638.664 -225.19 2732.64
4075 -184.952 -125.273 1392.03
4082 882.729 -328.253 2731.63
4085 859.283 -274.782 2776.03
4086 869.528 -263.586 2735.55
4088 82.2833 -131.676 1674.83
4090 855.319 -161.689 2751.32
4092 358.612 47.0718 2217.44
4099 -218.739 -443.513 2882.55
4103 -270.85 38.1705 773.6
4110 -280.142 51.1962 765.187
4112 -47.8383 80.2296 142.414
4115 626.003 -237.594 1827.42
4121 -289.625 46.2124 771.521
4124 -301.236 86.3713 770.331
4130 391.449 186.805 772.402
4131 -99.6463 50.4204 153.268
4134 52.0083 -14.3238 1147.59
4136 291.706 -28.2375 977.781
4137 -56.6467 69.4063 146.209
4139 -110.578 66.4895 1002.14
4144 -118.828 69.8664 1099.3
4145 312.215 -104.403 1318.37
4149 125.901 -82.3591 951.648
4151 804.842 -438.002 3056.73
4152 1573.06 -383.8 2830.59
4163 1663.24 -271.275 2822.08
4168 172.444 -9.17661 957.267
4170 1662.03 -57.6543 2850.08
4172 80.2925 86.2338 108.932
4173 126.891 104.515 145.394
4178 1539.03 -381.293 2819.09
4181 1554.26 -307.106 2850.88
4185 368.574 4.07669 710.621
4187 1573.25 42.8377 2724.56
4192 77.5216 85.5208 109.947
4193 366.097 129.175 415.733
4194 128.863 240.437 91.3855
4196 190.769 234.212 69.8762
4197 215.496 230.556 60.5871
4199 142.359 -658.566 3986.82
4205 1518.68 -367.486 2899.18
4206 1572.83 -341.136 2885.81
4209 1665.5 -159.5 2801.78
4214 243.585 2.62845 1289.66
4216 299.808 29.0346 697.264
4219 393.651 160.4 725.604
4223 799.986 -402.329 3101.13
4224 1518.5 -350.644 2857.78
4228 286.976 59.8194 728.176
4233 278.953 214.015 44.1025
4240 1525.37 9.62394 2802
4590 1697.13 -448.272 3000.64
4603 1527.32 -8.31107 2742.78
4616 1667.08 -1315.34 3593.88
4618 1472.41 -498.317 3026.86
4619 1236.64 -394.923 2734.78
4620 1337.15 -342.14 2772.7
4621 1232.25 -305.313 2630.99
4623 1495.27 -291.169 2770.16
4629 342.862 60.8952 719.827
4652 1413.37 -282.62 2713.73
4653 333.332 -11.0002 754.666
4655 1345.22 -357.848 2766.24
4656 1459.74 -341.92 2822.74
4657 1560.41 -137.02 2791.43
4658 1567.26 -136.943 2807.76
4659 49.874 110.334 1003.55
4662 296.843 -4.43684 1015.66
4665 1073.03 -41.7131 2925.96
4667 127.525 -81.4049 758.718
4669 304.387 51.7883 2218.82
4670 174.12 129.803 1024.93
4675 1287.88 -362.152 2765.45
4677 1638.49 -271.814 2916.5
4682 1282.51 -288.032 2631.1
4683 1548.92 -288.945 2821.4
4685 1532.34 58.671 2598.56
4690 911.934 -1290.99 4031.95
